COUNTY/CITY,4/1/2020,1/1/2021,1/1/2022,1/1/2023,1/1/2024
Incorporated,"64,345","63,298","62,981","63,559","62,834"
County Total,"136,463","135,130","134,167","134,597","133,100"
Imperial County,,,,,
Brawley             ,"26,492","26,750","27,058","27,633","28,345"
Calexico            ,"38,710","39,064","38,873","38,606","39,262"
Calipatria          ,"6,534","6,546","6,448","6,063","6,342"
El Centro           ,"44,808","45,053","44,692","44,346","44,952"
Holtville           ,"5,528","5,527","5,589","5,513","5,583"
Imperial            ,"20,320","20,842","21,606","21,583","22,141"
Westmorland         ,"2,020","2,025","2,012","1,993","2,050"
Balance Of County    ,"35,290","34,596","34,116","33,886","34,206"
Incorporated,"144,412","145,807","146,278","145,737","148,675"
County Total,"179,702","180,403","180,394","179,623","182,881"
Inyo County,,,,,
Bishop              ,"3,855","3,877","3,858","3,853","3,848"
Balance Of County    ,"15,161","15,104","15,058","15,037","15,008"
Incorporated,"3,855","3,877","3,858","3,853","3,848"
County Total,"19,016","18,981","18,916","18,890","18,856"
Kern County,,,,,
Arvin               ,"19,761","19,765","19,578","19,460","19,651"
Bakersfield         ,"403,103","404,716","407,592","407,835","411,109"
California City     ,"15,018","14,996","15,011","14,822","13,079"
Delano              ,"51,456","49,729","50,957","51,841","52,484"
Maricopa            ,"1,026","1,027","1,013","1,004","1,004"
Mcfarland           ,"14,184","14,027","13,900","13,765","13,965"
Ridgecrest          ,"27,890","27,994","27,982","27,745","27,940"
Shafter             ,"19,946","19,929","20,461","21,309","22,226"
Taft                ,"8,571","7,353","6,990","6,944","6,953"
Tehachapi           ,"13,041","12,306","12,442","11,978","11,092"
Wasco               ,"27,113","25,359","26,822","26,827","27,028"
Balance Of County    ,"308,126","308,169","305,438","302,635","303,769"
Incorporated,"601,109","597,201","602,748","603,530","606,531"
County Total,"909,235","905,370","908,186","906,165","910,300"
Kings County,,,,,
Avenal              ,"13,694","12,751","13,154","13,398","13,981"
Corcoran            ,"21,626","20,798","21,991","21,437","21,633"
Hanford             ,"58,123","58,706","58,260","59,034","59,286"
Lemoore             ,"27,032","27,230","26,968","26,929","26,855"
Balance Of County    ,"32,011","31,672","31,281","30,831","30,872"
Incorporated,"120,475","119,485","120,373","120,798","121,755"
County Total,"152,486","151,157","151,654","151,629","152,627"
Lake County,,,,,
Clearlake           ,"16,870","16,662","16,636","16,367","16,553"
Lakeport            ,"4,958","4,920","5,040","4,976","4,982"
Balance Of County    ,"46,335","46,196","45,921","45,355","45,466"
Incorporated,"21,828","21,582","21,676","21,343","21,535"
County Total,"68,163","67,778","67,597","66,698","67,001"
Lassen County,,,,,
Susanville          ,"16,233","14,370","13,011","11,790","11,639"
Balance Of County    ,"16,497","16,621","16,798","16,586","16,558"
Incorporated,"16,233","14,370","13,011","11,790","11,639"
County Total,"32,730","30,991","29,809","28,376","28,197"
Los Angeles County,,,,,
Agoura Hills        ,"20,232","20,149","19,885","19,928","19,841"
Alhambra            ,"82,621","82,471","81,883","81,774","81,811"
Arcadia             ,"56,877","56,579","56,146","55,855","55,783"
Artesia             ,"16,397","16,265","16,158","16,053","16,019"
Avalon              ,"3,443","3,426","3,354","3,332","3,313"
Azusa               ,"50,249","50,069","49,454","49,595","49,420"
Baldwin Park        ,"72,036","71,700","70,994","70,700","70,660"
Bell                ,"34,134","34,022","33,574","33,414","33,301"
Bellflower          ,"78,856","78,466","77,553","77,014","76,990"
Bell Gardens        ,"39,491","39,265","38,814","38,569","38,381"
Beverly Hills       ,"32,699","32,572","32,157","31,950","31,806"
Bradbury            ,920,906,901,905,898
Burbank             ,"107,171","106,503","105,735","105,484","105,603"
Calabasas           ,"23,225","23,325","23,030","22,857","22,742"
Carson              ,"93,815","93,364","92,785","92,403","91,924"
Cerritos            ,"49,361","49,091","48,470","48,063","47,806"
Claremont           ,"38,334","38,251","37,877","37,673","37,686"
Commerce            ,"12,375","12,320","12,152","12,055","12,124"
Compton             ,"96,091","95,531","94,394","94,016","93,671"
Covina              ,"51,300","51,123","50,633","50,390","50,485"
Cudahy              ,"22,773","22,643","22,394","22,327","22,210"
Culver City         ,"40,435","40,282","40,071","39,859","40,213"
Diamond Bar         ,"54,955","54,610","54,015","53,566","53,335"
Downey              ,"113,918","113,434","112,212","111,656","111,493"
Duarte              ,"21,670","21,680","21,377","22,958","23,656"
El Monte            ,"109,148","108,484","107,381","106,697","106,786"
El Segundo          ,"17,313","17,232","17,057","16,978","16,964"
Gardena             ,"60,905","60,555","60,052","59,896","60,028"
Glendale            ,"195,898","194,981","193,256","192,072","191,586"
Glendora            ,"52,504","52,304","51,665","51,374","51,209"
Hawaiian Gardens    ,"13,946","13,840","13,704","13,600","13,560"
Hawthorne           ,"87,991","87,505","86,539","85,886","85,566"
Hermosa Beach       ,"19,710","19,450","19,340","19,169","19,088"
Hidden Hills        ,"1,723","1,741","1,732","1,724","1,727"
Huntington Park     ,"54,714","54,434","53,767","53,384","53,219"
Industry            ,431,430,428,427,426
Inglewood           ,"108,511","108,033","107,053","106,628","106,065"
Irwindale           ,"1,500","1,495","1,497","1,488","1,499"
La Canada Flintridge,"20,541","20,442","20,171","20,089","20,048"
La Habra Heights    ,"5,654","5,633","5,560","5,513","5,488"
Lakewood            ,"82,293","81,924","80,922","80,365","80,162"
La Mirada           ,"49,309","49,133","48,623","48,271","48,077"
Lancaster           ,"175,077","174,754","173,267","172,460","172,631"
La Puente           ,"38,008","37,785","37,686","37,530","37,459"
La Verne            ,"32,430","32,265","31,897","31,678","31,697"
Lawndale            ,"31,778","31,627","31,249","31,026","30,855"
Lomita              ,"20,931","20,808","20,563","20,397","20,320"
Long Beach          ,"464,284","460,570","460,639","459,630","458,813"
Los Angeles         ,"3,898,536","3,871,886","3,822,940","3,804,420","3,814,318"
Lynwood             ,"68,552","67,277","66,653","66,424","66,271"
Malibu              ,"10,736","10,665","10,648","10,640","10,621"
Manhattan Beach     ,"35,462","34,979","34,772","34,367","34,195"
Maywood             ,"25,128","25,019","24,749","24,572","24,451"
Monrovia            ,"37,850","37,963","37,725","37,563","38,087"
Montebello          ,"62,656","62,480","61,739","61,730","61,930"
Monterey Park       ,"61,087","60,518","60,044","59,599","59,347"
Norwalk             ,"103,414","102,680","101,966","101,496","101,172"
Palmdale            ,"169,281","168,452","166,845","166,089","166,055"
Palos Verdes Estates,"13,352","13,267","13,121","13,031","12,974"
Paramount           ,"53,467","53,271","52,583","52,331","52,153"
Pasadena            ,"139,998","139,402","138,779","138,187","139,692"
Pico Rivera         ,"62,132","61,773","61,363","61,014","60,820"
Pomona              ,"152,790","149,685","150,928","151,132","152,166"
Rancho Palos Verdes ,"42,209","41,779","41,487","41,123","40,919"
Redondo Beach       ,"70,221","69,626","68,984","68,424","68,239"
Rolling Hills       ,"1,737","1,711","1,704","1,686","1,677"
Rolling Hills Estates,"8,270","8,511","8,514","8,495","8,534"
Rosemead            ,"51,089","50,646","50,527","50,503","50,541"
San Dimas           ,"34,802","34,672","34,273","34,027","33,920"
San Fernando        ,"23,656","23,636","23,634","23,633","23,643"
San Gabriel         ,"39,452","39,050","38,832","38,648","38,613"
San Marino          ,"12,548","12,409","12,418","12,350","12,379"
Santa Clarita       ,"228,333","228,705","228,876","231,045","230,428"
Santa Fe Springs    ,"18,768","18,656","18,827","18,703","18,640"
Santa Monica        ,"93,275","93,413","92,415","92,598","92,912"
Sierra Madre        ,"11,176","11,054","11,000","10,925","10,909"
Signal Hill         ,"11,759","11,647","11,569","11,488","11,448"
South El Monte      ,"19,536","19,521","19,601","19,482","19,441"
South Gate          ,"92,426","92,864","93,229","92,701","92,729"
South Pasadena      ,"26,956","26,668","26,487","26,367","26,270"
Temple City         ,"36,542","36,442","36,162","36,040","35,975"
Torrance            ,"146,820","145,989","144,406","143,433","142,910"
Vernon              ,211,212,208,206,205
Walnut              ,"28,430","28,330","27,998","27,896","27,867"
West Covina         ,"109,575","109,248","107,890","108,404","109,105"
West Hollywood      ,"35,687","35,538","35,282","35,229","35,075"
Westlake Village    ,"8,145","8,108","8,008","7,938","7,902"
Whittier            ,"87,829","87,590","87,572","87,333","87,527"
Balance Of County    ,"1,022,139","1,016,631","1,006,669","999,362","997,587"
Incorporated,"8,991,870","8,938,814","8,854,824","8,819,950","8,826,504"
County Total,"10,014,009","9,955,445","9,861,493","9,819,312","9,824,091"
Madera County,,,,,
Chowchilla          ,"19,270","18,267","18,699","18,775","18,930"
Madera              ,"66,157","66,621","66,320","66,269","66,560"
Balance Of County    ,"70,828","71,094","72,021","72,865","73,838"
Incorporated,"85,427","84,888","85,019","85,044","85,490"
County Total,"156,255","155,982","157,040","157,909","159,328"
Marin County,,,,,
Belvedere           ,"2,124","2,104","2,072","2,046","2,043"
Corte Madera        ,"10,211","10,167","9,965","9,926","9,882"
Fairfax             ,"7,595","7,533","7,430","7,399","7,371"
Larkspur            ,"13,080","12,998","12,744","12,638","12,655"
Mill Valley         ,"14,131","13,998","13,801","13,695","13,635"
Novato              ,"53,166","52,960","52,031","51,694","51,140"
Ross                ,"2,336","2,333","2,282","2,278","2,272"
San Anselmo         ,"12,785","12,738","12,499","12,443","12,426"
San Rafael          ,"61,597","61,265","60,161","59,855","59,585"
Sausalito           ,"7,119","7,120","6,950","6,894","6,856"
Tiburon             ,"9,133","9,112","8,905","8,841","8,809"
Balance Of County    ,"69,044","67,393","66,619","66,263","66,170"
Incorporated,"193,277","192,328","188,840","187,709","186,674"
County Total,"262,321","259,721","255,459","253,972","252,844"
Mariposa County,,,,,
County Total,"17,131","17,070","16,988","16,968","16,966"
Mendocino County,,,,,
Fort Bragg          ,"7,062","7,031","7,109","7,027","7,179"
Point Arena         ,460,456,454,447,445
Ukiah               ,"16,602","16,324","16,349","16,176","16,108"
Willits             ,"4,947","4,968","4,889","4,835","4,830"
Balance Of County    ,"62,530","62,131","61,426","61,071","60,914"
Incorporated,"29,071","28,779","28,801","28,485","28,562"
County Total,"91,601","90,910","90,227","89,556","89,476"
Merced County,,,,,
Atwater             ,"31,757","31,903","31,605","31,390","31,397"
Dos Palos           ,"5,795","5,798","5,691","5,634","5,633"
Gustine             ,"6,079","6,085","5,980","5,940","5,936"
Livingston          ,"14,094","14,277","14,377","14,273","14,286"
Los Banos           ,"45,347","46,215","46,787","47,300","47,419"
Merced              ,"86,285","87,581","88,684","90,120","91,837"
Balance Of County    ,"91,845","89,085","90,914","90,536","90,795"
Incorporated,"189,357","191,859","193,124","194,657","196,508"
County Total,"281,202","280,944","284,038","285,193","287,303"
Modoc County,,,,,
Alturas             ,"2,720","2,705","2,691","2,664","2,659"
Balance Of County    ,"5,980","5,903","5,856","5,837","5,825"
Incorporated,"2,720","2,705","2,691","2,664","2,659"
County Total,"8,700","8,608","8,547","8,501","8,484"
Mono County,,,,,
Mammoth Lakes       ,"7,220","7,301","7,182","7,305","7,110"
Balance Of County    ,"5,975","5,890","5,805","5,888","5,751"
Incorporated,"7,220","7,301","7,182","7,305","7,110"
County Total,"13,195","13,191","12,987","13,193","12,861"
Monterey County,,,,,
Carmel-By-The-Sea   ,"3,168","3,123","3,115","3,105","3,122"
Del Rey Oaks        ,"1,579","1,570","1,560","1,559","1,569"
Gonzales            ,"8,548","8,536","8,404","8,384","8,466"
Greenfield          ,"18,782","18,863","19,853","20,155","20,561"
King City           ,"13,395","13,530","13,419","13,968","14,216"
Marina              ,"21,738","21,410","21,646","22,269","22,695"
Monterey            ,"28,474","28,539","28,332","27,189","27,106"
Pacific Grove       ,"14,978","14,968","14,846","14,872","14,966"
Salinas             ,"161,776","161,835","160,587","160,870","162,037"
Sand City           ,368,378,375,378,379
Seaside             ,"32,731","31,456","32,390","30,187","30,197"
Soledad             ,"27,550","26,670","26,730","26,462","26,966"
Balance Of County    ,"105,948","105,925","104,776","104,555","105,334"
Incorporated,"333,087","330,878","331,257","329,398","332,280"
County Total,"439,035","436,803","436,033","433,953","437,614"
Napa County,,,,,
American Canyon     ,"21,623","21,523","21,641","21,379","21,758"
Calistoga           ,"5,237","5,261","5,148","5,127","5,142"
Napa                ,"77,920","78,560","77,637","77,074","77,174"
St Helena           ,"5,396","5,393","5,299","5,284","5,314"
Yountville          ,"2,985","2,934","2,801","2,766","2,781"
Balance Of County    ,"24,858","23,457","23,038","22,878","22,860"
Incorporated,"113,161","113,671","112,526","111,630","112,169"
County Total,"138,019","137,128","135,564","134,508","135,029"
Nevada County,,,,,
Grass Valley        ,"13,610","13,558","13,516","13,478","13,400"
Nevada City         ,"3,348","3,323","3,276","3,350","3,347"
Truckee             ,"16,768","16,767","16,775","16,702","16,778"
Balance Of County    ,"68,515","68,337","67,513","66,944","66,652"
Incorporated,"33,726","33,648","33,567","33,530","33,525"
County Total,"102,241","101,985","101,080","100,474","100,177"
Orange County,,,,,
Aliso Viejo,"51,794","51,528","50,911","50,284","50,068"
Anaheim             ,"346,359","345,618","341,650","339,175","340,160"
Brea                ,"47,188","47,088","46,681","47,886","47,725"
Buena Park          ,"84,211","83,765","83,122","82,632","82,689"
Costa Mesa          ,"112,499","112,093","111,060","109,765","109,423"
Cypress             ,"50,355","50,097","49,719","49,291","49,345"
Dana Point          ,"33,139","33,037","32,822","32,721","32,596"
Fountain Valley     ,"57,126","57,302","56,651","56,233","56,333"
Fullerton           ,"143,876","141,614","141,929","140,756","140,311"
Garden Grove        ,"171,947","171,321","170,388","169,046","171,024"
Huntington Beach    ,"198,325","197,081","195,359","193,078","192,503"
Irvine              ,"308,104","301,365","309,841","311,537","314,550"
Laguna Beach        ,"22,988","22,808","22,681","22,433","22,449"
Laguna Hills        ,"31,369","31,048","30,839","30,442","30,315"
Laguna Niguel       ,"64,493","65,482","64,641","63,865","64,291"
Laguna Woods,"17,744","17,624","17,442","17,222","17,148"
La Habra            ,"62,737","62,357","61,700","61,028","60,901"
Lake Forest         ,"85,953","86,330","86,455","86,311","86,917"
La Palma            ,"15,573","15,494","15,315","15,131","15,071"
Los Alamitos        ,"11,887","11,873","11,827","11,970","11,947"
Mission Viejo       ,"93,600","93,080","92,175","91,221","91,304"
Newport Beach       ,"85,096","84,528","83,571","82,707","82,419"
Orange              ,"140,693","139,229","138,944","138,842","138,621"
Placentia           ,"51,776","51,548","51,036","52,182","52,226"
Rancho Santa Margarita,"47,915","47,667","47,092","46,507","46,305"
San Clemente        ,"64,103","63,845","63,146","62,481","62,297"
San Juan Capistrano ,"34,963","34,889","34,670","34,627","34,992"
Santa Ana           ,"310,182","311,541","308,205","308,041","310,797"
Seal Beach          ,"25,298","25,021","24,868","24,447","24,350"
Stanton             ,"37,649","38,190","39,115","38,914","40,297"
Tustin              ,"80,342","80,117","79,243","78,515","78,844"
Villa Park          ,"5,859","5,829","5,759","5,716","5,705"
Westminster         ,"90,934","90,937","90,236","89,400","89,490"
Yorba Linda         ,"68,047","67,727","66,985","66,268","66,087"
Balance Of County    ,"132,865","133,279","131,993","130,391","131,335"
Incorporated,"3,054,124","3,039,073","3,026,078","3,010,674","3,019,500"
County Total,"3,186,989","3,172,352","3,158,071","3,141,065","3,150,835"
Placer County,,,,,
Auburn              ,"13,767","13,706","13,523","13,344","13,218"
Colfax              ,"1,999","2,000","2,024","2,010","1,988"
Lincoln             ,"49,683","50,165","50,977","52,296","53,231"
Loomis              ,"6,807","6,776","6,678","6,597","6,601"
Rocklin             ,"71,564","71,640","71,607","71,420","71,609"
Roseville           ,"147,104","148,506","150,626","152,726","154,329"
Balance Of County    ,"113,815","113,650","112,104","111,692","111,868"
Incorporated,"290,924","292,793","295,435","298,393","300,976"
County Total,"404,739","406,443","407,539","410,085","412,844"
Plumas County,,,,,
Portola             ,"2,111","2,101","2,135","2,099","2,075"
Balance Of County    ,"17,679","17,525","17,119","16,894","16,766"
Incorporated,"2,111","2,101","2,135","2,099","2,075"
County Total,"19,790","19,626","19,254","18,993","18,841"
Riverside County,,,,,
Banning             ,"30,595","30,535","30,744","31,046","31,213"
Beaumont            ,"53,275","53,920","54,208","56,275","57,416"
Blythe              ,"18,778","17,362","17,418","17,224","17,378"
Calimesa            ,"10,020","10,589","10,930","10,909","10,867"
Canyon Lake         ,"11,060","11,044","10,932","10,846","10,832"
Cathedral City      ,"51,319","51,540","51,383","51,045","50,911"
Coachella           ,"41,866","41,856","41,783","42,179","43,173"
Corona              ,"156,670","157,202","156,879","156,268","156,615"
Desert Hot Springs  ,"32,389","32,208","32,276","32,380","32,654"
Eastvale,"69,685","70,401","69,797","69,123","68,884"
Hemet               ,"89,252","89,170","88,856","89,333","89,663"
Indian Wells        ,"4,755","4,740","4,765","4,733","4,797"
Indio               ,"88,722","88,973","89,226","89,978","90,680"
Jurupa Valley,"104,801","105,120","105,117","104,599","104,721"
Lake Elsinore       ,"70,370","70,951","71,586","71,351","71,452"
La Quinta           ,"37,473","37,660","37,523","37,824","38,370"
Menifee,"102,383","104,230","107,120","109,401","111,560"
Moreno Valley       ,"208,069","208,008","207,549","206,903","207,146"
Murrieta            ,"110,706","110,916","110,291","109,364","109,177"
Norco               ,"26,628","24,640","24,957","24,893","25,068"
Palm Desert         ,"50,655","50,590","50,439","50,274","50,889"
Palm Springs        ,"44,169","44,235","44,007","43,802","43,791"
Perris              ,"78,550","78,724","78,191","78,424","79,311"
Rancho Mirage       ,"16,574","16,519","16,787","16,868","16,992"
Riverside           ,"317,624","313,145","317,821","315,747","316,690"
San Jacinto         ,"53,791","54,100","54,108","53,746","53,538"
Temecula            ,"109,731","109,676","109,071","108,173","108,700"
Wildomar,"36,691","36,646","36,306","36,093","36,327"
Balance Of County    ,"391,584","394,465","397,762","399,779","403,563"
Incorporated,"2,026,601","2,024,700","2,030,070","2,028,801","2,038,815"
County Total,"2,418,185","2,419,165","2,427,832","2,428,580","2,442,378"
Sacramento County,,,,,
Citrus Heights,"87,721","87,207","86,071","86,056","85,554"
Elk Grove,"176,349","176,644","176,469","177,446","178,679"
Folsom              ,"82,908","83,076","84,365","85,698","88,023"
Galt                ,"25,469","25,295","25,162","25,608","25,785"
Isleton             ,795,786,778,772,767
Rancho Cordova,"79,144","79,669","80,378","81,604","82,109"
Sacramento          ,"520,252","518,067","516,529","519,466","520,407"
Balance Of County    ,"612,417","609,376","602,502","599,989","597,614"
Incorporated,"972,638","970,744","969,752","976,650","981,324"
County Total,"1,585,055","1,580,120","1,572,254","1,576,639","1,578,938"
San Benito County,,,,,
Hollister           ,"41,675","41,860","42,681","42,547","42,872"
San Juan Bautista   ,"2,084","2,085","2,068","2,032","2,032"
Balance Of County    ,"20,450","20,697","20,893","20,586","20,949"
Incorporated,"43,759","43,945","44,749","44,579","44,904"
County Total,"64,209","64,642","65,642","65,165","65,853"
San Bernardino County,,,,,
Adelanto            ,"36,620","36,700","36,382","36,422","36,131"
Apple Valley        ,"75,917","75,951","75,197","74,500","74,322"
Barstow             ,"25,534","25,409","25,094","24,759","24,669"
Big Bear Lake       ,"5,041","4,975","5,008","4,948","4,958"
Chino               ,"91,436","90,314","92,240","92,546","92,585"
Chino Hills         ,"78,378","78,221","77,519","76,547","76,414"
Colton              ,"53,757","53,891","53,496","52,841","52,778"
Fontana             ,"208,482","210,389","212,741","212,772","214,223"
Grand Terrace       ,"13,126","13,053","12,966","12,793","12,771"
Hesperia            ,"99,756","99,767","99,741","99,338","100,087"
Highland            ,"56,865","56,758","56,223","55,612","55,676"
Loma Linda          ,"24,943","25,137","25,102","24,960","24,965"
Montclair           ,"38,017","37,966","37,647","37,246","37,211"
Needles             ,"4,924","4,885","4,847","4,780","4,769"
Ontario             ,"175,297","176,070","178,564","179,555","181,224"
Rancho Cucamonga    ,"174,253","174,111","173,896","172,344","173,316"
Redlands            ,"73,049","73,008","72,453","71,776","72,696"
Rialto              ,"104,013","103,764","103,362","102,367","103,097"
San Bernardino      ,"223,120","221,295","220,397","225,620","226,541"
Twentynine Palms    ,"28,277","27,420","27,575","25,787","25,346"
Upland              ,"78,864","78,616","78,687","77,849","78,285"
Victorville         ,"134,754","134,649","136,034","136,346","138,202"
Yucaipa             ,"54,705","54,680","54,184","53,635","53,810"
Yucca Valley        ,"21,767","21,863","21,693","21,509","21,594"
Balance Of County    ,"300,759","300,114","298,797","295,842","295,763"
Incorporated,"1,880,895","1,878,892","1,881,048","1,876,852","1,885,670"
County Total,"2,181,654","2,179,006","2,179,845","2,172,694","2,181,433"
San Diego County,,,,,
Carlsbad            ,"115,029","115,373","115,033","115,045","114,319"
Chula Vista         ,"275,127","275,498","275,427","276,813","278,247"
Coronado            ,"23,504","22,415","22,082","22,272","21,589"
Del Mar             ,"3,951","3,927","3,909","3,918","3,919"
El Cajon            ,"106,321","106,112","105,171","104,804","104,180"
Encinitas           ,"61,506","61,593","61,283","61,254","61,028"
Escondido           ,"151,289","151,371","150,419","150,571","150,002"
Imperial Beach      ,"26,577","26,336","26,163","26,109","26,096"
La Mesa             ,"60,637","60,620","60,412","60,753","60,620"
Lemon Grove         ,"27,386","27,333","27,109","27,517","27,568"
National City       ,"58,643","58,524","58,545","58,374","58,555"
Oceanside           ,"173,283","173,354","172,463","172,186","171,483"
